uniqueIDs	GSM1015207	GSM1015208	GSM1015209	GSM1015210	GSM1015211	GSM1015212	GSM1015213	GSM1015214	GSM1015215	GSM1015216	GSM1015217	GSM1015218	GSM1015219	GSM1015220	GSM1015221	GSM1015222	GSM1015223	GSM1015224	GSM1015225	GSM1015226	GSM1015227	GSM1015228	GSM1015229	GSM1015230	GSM1015231	GSM1015232
NPY5R	7.251841	7.3147845	7.5196104	7.5115957	7.3399115	7.169153	7.4820657	7.625658	7.563077	7.479546	7.512584	7.2849393	7.682715	7.2893314	7.433774	6.9912014	7.421516	7.345932	7.218329	7.4432364	7.451187	7.642701	7.4318933	7.1160545	7.483666	7.6334095
NQO1	8.353811	8.19609	8.292339	8.345813	8.241075	8.450718	8.38665	8.401481	8.3874655	8.377344	8.332615	8.299035	8.26649	8.295525	8.2502775	8.345908	8.2475	8.414682	8.473424	8.505379	8.397484	8.518817	8.280351	8.349796	8.34022	8.423252
NQO2	9.094901	8.762976	8.633952	8.637029	8.624022	8.949588	8.77	8.708514	8.794791	8.759182	8.848045	9.283224	8.767801	8.970439	8.836455	8.68699	8.520035	8.758313	8.978732	8.574809	8.703716	8.718999	8.946534	9.002353	8.828957	8.765726
NR0B1	6.53221	6.5492544	6.6702776	6.6412363	6.8953085	7.174277	6.4187922	6.376375	6.7278056	6.4942966	6.5793495	6.322588	6.600398	6.620109	6.413816	6.9881363	6.8924255	6.7998805	6.8618584	6.848571	6.516606	6.479951	6.507446	6.841185	6.453006	6.412719
NR0B2	8.852846	8.761203	8.813661	8.844815	8.726449	8.906637	8.711924	8.666881	8.778372	8.876906	8.698303	8.73956	8.767143	8.750477	8.915722	8.687497	8.878002	8.815338	8.72339	8.684263	8.787766	8.897206	8.820515	8.811599	8.836192	8.758655
NR1D1	11.508901	11.619746	11.692978	11.603845	11.437943	11.652199	11.637463	11.776004	11.687104	11.605789	11.660318	11.559373	11.618904	11.537357	11.748736	11.360265	11.379094	11.412556	11.402441	11.581641	11.651792	11.598239	11.649838	11.538962	11.672143	11.691799
NR1D2	10.336052	10.6206665	10.990359	11.111067	11.447113	11.534563	11.140529	11.161797	10.890357	11.036608	10.908367	9.948936	10.7095995	10.510639	10.325612	11.738953	11.877207	11.364563	11.360672	11.456682	11.0694065	11.189764	10.603385	11.235612	10.144919	10.790235
NR1H2	8.3882885	8.283642	8.4200945	8.366596	8.221348	8.193763	8.374414	8.130117	8.27376	8.248315	8.138412	8.108401	8.274197	8.280771	8.330628	8.122545	8.166482	8.3533945	8.274479	8.067698	8.445989	8.276092	8.279677	8.256608	8.356252	8.439747
NR1H3	8.856513	8.7179985	8.604444	8.731001	8.734199	8.728338	8.61905	8.665038	8.794278	8.703455	8.652919	8.711866	8.546606	8.617775	8.585183	8.841892	8.575806	8.659784	8.670176	8.604061	8.620217	8.719274	8.600756	8.776239	8.672157	8.739918
NR1H4	8.918502	8.87465	8.938129	9.023055	9.054135	9.026699	9.025027	9.063883	9.013308	8.991393	8.889959	8.735107	8.990288	8.945239	9.006651	9.234837	9.370777	9.075251	9.164736	9.078477	9.068957	9.025562	9.022209	9.05578	9.067201	9.00985
NR1I2	7.703101	7.8666024	7.9903626	7.8250074	7.812457	7.651922	7.827655	8.058223	7.8495545	7.978968	7.7189255	7.665969	7.9625597	7.8513656	7.922625	7.537321	7.9488573	7.754855	7.550399	7.6549954	8.008783	7.8555913	7.824145	7.929461	8.138805	7.9754996
NR1I3	10.660674	10.547103	10.593768	10.662695	10.491454	10.628844	10.851015	10.686466	10.594972	10.858453	10.671071	10.7758	10.805391	10.828669	10.945584	10.460985	10.491033	10.638777	10.474698	10.5414295	10.777761	10.813288	10.753891	10.7845	10.753163	10.878329
NR2C1	8.82021	8.725635	8.812675	8.675025	8.889548	9.011524	8.634712	8.798979	8.822155	8.623177	8.803573	8.776588	8.555359	8.667294	8.695694	9.054591	9.06146	8.781554	9.040234	9.008587	8.703539	8.721926	8.723423	8.622876	8.749522	8.788807
NR2C2	10.745673	10.863295	10.911072	10.850101	10.854343	10.775975	10.977203	11.030657	10.950145	10.952667	10.954909	10.78227	11.031189	10.932362	11.02695	10.798714	10.876241	10.960039	10.891519	10.905871	11.050405	10.851892	10.888883	10.86664	10.970627	10.922316
NR2C2AP	8.732332	8.696664	8.743849	8.760726	8.716776	8.649878	8.895281	8.614064	8.587107	8.846512	8.806579	8.7872305	8.814327	8.920188	8.900893	8.694025	8.681526	8.821144	8.744693	8.783114	8.786553	8.72012	8.799756	8.8459835	8.759361	8.754583
NR2E1	6.273722	6.4337754	6.413955	6.346584	6.2683415	6.4755845	6.306399	5.997031	5.9238315	6.3982425	5.663277	6.078954	6.1500154	6.215241	6.4187055	6.125872	6.3465705	6.293182	5.876969	6.1547933	6.215446	6.3675075	6.314495	6.5366907	6.3477993	6.330971
NR2E3	10.592997	10.792426	10.697794	10.561174	10.602663	10.573667	10.47274	10.781647	10.728504	10.444287	10.487999	10.577591	10.606499	10.438248	10.555098	10.498764	10.534966	10.251932	10.594245	10.565209	10.560077	10.737314	10.728548	10.542785	10.386442	10.576776
NR2F1	11.080117	11.19432	11.212265	11.1172085	11.086547	10.990775	11.092021	11.171392	11.200481	11.217981	11.08843	11.167514	11.294728	11.160944	11.1983595	11.075263	10.941519	11.115721	11.116536	11.189697	11.310343	11.270899	11.182553	11.20387	11.160574	11.205104
NR2F2	9.509732	9.280558	9.485349	9.604332	9.891851	9.870943	9.510242	9.31905	9.510191	9.433606	9.357947	9.34532	9.267416	9.49006	9.412642	10.09583	10.110158	9.60947	9.818796	9.864541	9.425817	9.713513	9.474034	9.595609	9.405162	9.3466425
NR2F6	8.682901	8.495189	8.545568	8.689793	8.672402	8.870792	8.700129	8.375583	8.443035	8.563304	8.388864	8.399773	8.392362	8.466697	8.418721	8.889512	8.777128	8.732624	8.674667	8.648809	8.496581	8.504869	8.328283	8.484723	8.501553	8.503928
